"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore
421,FMHB.KL,FM Global Logistics Holdings Bhd,Malaysia,Marine Transportation,2024,0.369341358,52.03,8.310732657,0.281581328,0.279164436,0.553756802,0.402501175,0.0,1223990.5,0.131365352,0.0,0.551788977,30.53190943,8349643.71,5,37.5,0,51.37,32.27,5.114155478,4.074350408,0.782509892,1.7731429374363716
421,FMHB.KL,FM Global Logistics Holdings Bhd,Malaysia,Marine Transportation,2023,0.435586612,60.09,8.242879066,0.278457317,0.246194638,0.517262723,0.444981213,0.0,-6026086.96,0.132397471,0.0,0.559510343,-14.71516618,7149734.89,5,37.5,0,70.79,41.29,3.555487154,4.056107349,-1.872255625,1.4236551684651853
421,FMHB.KL,FM Global Logistics Holdings Bhd,Malaysia,Marine Transportation,2022,0.517003812,48.96,8.169388374,0.218900982,0.218551216,0.493711764,0.702122997,0.0,3069882.1,0.155138322,0.0,0.513807031,-22.31128459,10107609.86,5,37.5,0,71.1,23.86,8.861821876,4.069967336,6.403485118,1.769657281136756
422,FRAS.KL,Fraser & Neave Holdings Bhd,Malaysia,Beverages,2024,1.755917524,71.08,9.123340021,0.138999214,0.202702651,0.584519202,0.0,0.207301994,25075467.12,0.252861097,0.136078752,0.382652078,19.45500798,132081533.6,7,27.27,FALSE,75.05,66.08,5.114155478,4.074350408,0.782509892,2.312680568003428
422,FRAS.KL,Fraser & Neave Holdings Bhd,Malaysia,Beverages,2023,2.092268895,69.13,9.037061484,0.15022174,0.166398813,0.480976489,0.0,0.201801896,121369340.6,0.243084432,0.149499072,0.381841989,10.48845268,115484819.4,7,36.36,FALSE,80.04,62.59,3.555487154,4.056107349,-1.872255625,2.514196296528215
422,FRAS.KL,Fraser & Neave Holdings Bhd,Malaysia,Beverages,2022,2.624080754,70.28,8.956229579,0.074004147,0.198858883,0.689793205,0.0,0.110218989,-20171089.54,0.114832811,0.215093435,0.377145441,-2.292625087,82474433.66,7,36.36,FALSE,76.57,69.97,8.861821876,4.069967336,6.403485118,2.0647658095495847
423,FRKN.KL,Frontken Corporation Bhd,Malaysia,Commercial Services & Supplies,2024,7.599218878,59.45,8.344882554,0.029115911,0.189983788,0.700827747,1.88062929,0.0,23101886.75,0.601690713,0.021482841,0.260380134,16.91444234,33814115.94,5,33.33,TRUE,34.76,68.49,5.114155478,4.074350408,0.782509892,1.4358833699095293
423,FRKN.KL,Frontken Corporation Bhd,Malaysia,Commercial Services & Supplies,2023,8.578182847,58.74,8.285338972,0.037414439,0.187948168,0.681303864,1.89991681,0.0,16760420.48,0.499228902,0.025219772,0.306565634,-7.296557205,27089128.54,5,20.0,TRUE,34.26,49.76,3.555487154,4.056107349,-1.872255625,1.436962256116297
423,FRKN.KL,Frontken Corporation Bhd,Malaysia,Commercial Services & Supplies,2022,8.997888001,30.79,8.262785657,0.065319966,0.230695807,0.722354926,1.707152126,0.0,5700461.36,0.451041646,0.026410645,0.32864197,8.711370356,30719895.45,6,16.67,TRUE,13.78,37.46,8.861821876,4.069967336,6.403485118,1.6040541225146543
424,GADA.KL,Gadang Holdings Bhd,Malaysia,Construction & Engineering,2024,0.14317078,46.75,8.512177666,0.144836252,0.351743324,0.858630372,0.269467933,0.0,17351046.32,0.206037999,0.289912534,0.016596031,52.31932931,1645426.76,6,33.33,0,58.88,24.63,5.114155478,4.074350408,0.782509892,1.940277096154872
424,GADA.KL,Gadang Holdings Bhd,Malaysia,Construction & Engineering,2023,0.154549004,39.94,8.470011005,0.135303727,0.316092385,0.735764274,0.191886989,0.0,-9653273.81,0.120999422,0.385558719,0.022438492,15.36595054,105229.59,6,33.33,TRUE,46.87,17.93,3.555487154,4.056107349,-1.872255625,2.3504089091288174
424,GADA.KL,Gadang Holdings Bhd,Malaysia,Construction & Engineering,2022,0.151786402,27.31,8.478772879,0.163282759,0.235752494,0.54883438,0.391204912,0.0,-16254064.6,0.132601428,0.407633894,0.026261668,-27.80691138,-8930414.05,6,33.33,TRUE,37.84,11.53,8.861821876,4.069967336,6.403485118,2.2593909464262087
425,GAMU.KL,Gamuda Bhd,Malaysia,Construction & Engineering,2024,1.329196414,79.55,9.763821774,0.298003321,0.296154103,0.516249645,0.211285523,0.0,-50784189.9,0.13836358,0.212228072,0.069979211,59.3549813,205360627.2,4,42.86,0,81.61,84.7,5.114155478,4.074350408,0.782509892,2.4186140854139
425,GAMU.KL,Gamuda Bhd,Malaysia,Construction & Engineering,2023,1.452845994,73.09,9.723640302,0.292317663,0.288035159,0.526010974,0.250404533,0.0,204604393.2,0.203456604,0.194117071,0.076465586,65.49739043,185649434.2,8,57.14,0,67.92,78.63,3.555487154,4.056107349,-1.872255625,1.8573008537504248
425,GAMU.KL,Gamuda Bhd,Malaysia,Construction & Engineering,2022,1.709589964,76.2,9.658533093,0.236417844,0.313367905,0.613036914,0.130197421,0.0,134473246.4,0.17990105,0.131635546,0.057978428,32.16696105,166684802.2,8,42.86,0,82.27,79.44,8.861821876,4.069967336,6.403485118,1.8573008537504248
426,GENM.KL,Genting Malaysia Bhd,Malaysia,"Hotels, Restaurants & Leisure",2024,0.436371689,70.85,9.805757551,0.466220237,0.116993496,0.20077735,0.613248758,0.052402389,-77954341.99,0.125135352,0.006538922,0.52092245,10.01383571,36280214.86,5,22.22,TRUE,41.33,86.85,5.114155478,4.074350408,0.782509892,1.99771776749015
426,GENM.KL,Genting Malaysia Bhd,Malaysia,"Hotels, Restaurants & Leisure",2023,0.450947455,65.82,9.802319025,0.446534551,0.108029949,0.193105565,0.858301011,0.040726748,183267973.9,0.130091939,0.006151257,0.524725237,13.53733067,78627450.98,4,10.0,TRUE,30.82,77.51,3.555487154,4.056107349,-1.872255625,1.9640974789466727
426,GENM.KL,Genting Malaysia Bhd,Malaysia,"Hotels, Restaurants & Leisure",2022,0.434033863,68.03,9.81338384,0.450560581,0.13092103,0.234346769,0.571443816,0.014005798,-363022727.3,0.094738126,0.005260033,0.566085711,95.86610445,-151681818.2,6,16.67,TRUE,35.86,82.04,8.861821876,4.069967336,6.403485118,1.17903883145513
427,GENP.KL,Genting Plantations Bhd,Malaysia,Food Products,2024,0.490340205,57.52,9.333255491,0.328116186,0.232403246,0.514269042,0.373656736,0.074087759,186173008.1,0.225483567,0.03579693,0.565516892,1.740918873,74967547.0,4,20.0,TRUE,35.9,73.49,5.114155478,4.074350408,0.782509892,2.753373157438688
427,GENP.KL,Genting Plantations Bhd,Malaysia,Food Products,2023,0.559044788,55.29,9.271020796,0.244707394,0.117263347,0.310755202,0.587838416,0.039402397,-114857952.1,0.114329991,0.026336121,0.655446719,-10.85106343,57905882.35,4,10.0,TRUE,31.13,65.83,3.555487154,4.056107349,-1.872255625,2.811543935784192
427,GENP.KL,Genting Plantations Bhd,Malaysia,Food Products,2022,0.536139435,56.93,9.300625815,0.27631863,0.130174501,0.319483476,0.126842993,0.140435751,-12399772.73,0.170157563,0.03284271,0.608509689,-3.561380744,109847954.6,4,11.11,TRUE,35.36,69.68,8.861821876,4.069967336,6.403485118,2.1605923506843743
428,GENT.KL,Genting Bhd,Malaysia,"Hotels, Restaurants & Leisure",2024,0.111082935,70.17,10.37146063,0.384518474,0.103543528,0.149391613,0.431669684,0.168482201,-281154879.1,0.217395556,0.009465902,0.561731038,4.99738372,452394807.5,4,12.5,TRUE,31.45,84.49,5.114155478,4.074350408,0.782509892,1.6342862303541383
428,GENT.KL,Genting Bhd,Malaysia,"Hotels, Restaurants & Leisure",2023,0.110675442,71.43,10.3668964,0.372792718,0.09604442,0.140259747,0.507046234,0.17276445,379302832.2,0.223516554,0.008114466,0.561062547,16.13827729,493943355.1,5,12.5,TRUE,31.14,85.0,3.555487154,4.056107349,-1.872255625,1.6616918688133742
428,GENT.KL,Genting Bhd,Malaysia,"Hotels, Restaurants & Leisure",2022,0.113972162,72.42,10.36731186,0.389375239,0.087383035,0.126458152,0.581450388,0.163013025,-150704545.5,0.20488483,0.008151432,0.575652427,56.56986383,10113636.36,5,12.5,TRUE,29.85,90.11,8.861821876,4.069967336,6.403485118,1.6851756926128223
429,GESH.KL,GE-SHEN Corporation Bhd,Malaysia,Containers & Packaging,2024,1.86978383,13.54,7.914145632,0.347865574,0.242832519,0.503574499,0.420829777,0.0,3782229.19,0.146394292,0.12232174,0.328438646,10.24712239,2872426.14,6,40.0,FALSE,16.44,5.41,5.114155478,4.074350408,0.782509892,0.0
