path_to_file,year,company_name,Identifier,ClimateRiskScore,Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
Dương/11. FRT/FRT 2024,2024,FPT Digital Retail JSC,FRT.HM,2.3191235388829208,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2024.0,1.363086,26.7209797,8.7933515,0.555839,0.8660755,0.9850183,0.0346981,0.1024472,44621847.9992151,0.2241588,0.6464362,0.0735767,19.8891108,16028792.4756672,11.0,37.5,1,46.2820513,8.2458848,7.0911875,3.6736926,4.1595862
Dương/11. FRT/FRT 2021,2021,FPT Digital Retail JSC,FRT.HM,1.3969822469174955,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2021.0,1.7895928,23.4720429,8.6744524,0.5606682,0.8443028,0.99812,0.0746635,0.0394278,17686979.6486309,0.5488763,0.4571044,0.001524,55.0765439,19447901.2674699,9.0,50.0,1,37.8431373,5.0980392,2.5537285,3.5686937,2.8807679
Dương/11. FRT/FRT 2022,2022,FPT Digital Retail JSC,FRT.HM,0.0,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2022.0,1.8725779,24.2448754,8.6490765,0.5096384,0.8052583,0.9951628,0.0531589,0.0280382,-15233099.3172385,0.1671195,0.6161111,0.0643231,29.6416067,16860406.4976705,9.0,40.0,1,40.8974359,6.504065,8.5375005,3.6178071,4.442833
Dương/11. FRT/FRT 2020,2020,FPT Digital Retail JSC,FRT.HM,1.5586081154650064,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2020.0,3.5488708,0.0,8.368346,0.4614222,0.772601,0.9972679,0.1324952,0.0278418,-6531891.2002601,0.2269087,0.339061,0.0016164,-11.4726460,442857.8469874,0.0,0.0,0,0.0,0.0,2.8654132,3.5482714,1.4674781
Dương/112. TCIE/TCIE 2018,2018,TCI Express Ltd,TCIE.NS,0.0,337.0,TCIE.NS,TCI Express Ltd,India,Air Freight & Logistics,2018.0,5.5820054,0.0,7.7386243,0.0259651,0.2743753,0.9302201,0.1551260,0.0,711188.2046834,0.0441504,0.0,0.4563422,8.8666000,10529054.6400694,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/112. TCIE/TCIE 2019,2019,TCI Express Ltd,TCIE.NS,2.155079150959644,337.0,TCIE.NS,TCI Express Ltd,India,Air Freight & Logistics,2019.0,5.3935601,0.0,7.7580257,0.0093389,0.2041573,0.9346488,0.1262202,0.0,-597347.7758751,0.0962255,0.0,0.4503742,-7.4348998,11824831.0833234,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
Dương/107. LTIM/LTIM 2018,2018,LTIMindtree Ltd,LTIM.NS,1.9709661878358689,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2018.0,17.9260555,0.0,8.9840932,0.0,0.2468512,0.927284,0.1797971,0.0,7473258.1671003,0.3673331,4.5e-05,0.0462424,21.6736384,219066204.105233,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/112. TCIE/TCIE 2020,2020,TCI Express Ltd,TCIE.NS,1.0,337.0,TCIE.NS,TCI Express Ltd,India,Air Freight & Logistics,2020.0,4.1381614,0.0,7.8711902,0.0041202,0.1899901,0.9407961,0.0886824,0.0,-266622.913163,0.1620000,0.0,0.4678659,-15.7591854,13755007.725228,0.0,0.0,0,0.0,0.0,-5.7777247,3.2803604,4.8148579
Dương/107. LTIM/LTIM 2024,2024,LTIMindtree Ltd,LTIM.NS,2.0159943532939373,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2024.0,4.875129,57.1696803,9.5544349,0.0714104,0.1947731,0.7521591,0.3274443,0.0026706,28355763.604447,0.3787108,9.14e-05,0.1483807,4.3838767,538560561.732007,7.0,7.6923077,1,33.0138913,48.5186902,6.4842236,3.4308268,3.2018101
Dương/112. TCIE/TCIE 2021,2021,TCI Express Ltd,TCIE.NS,1.4086972668048006,337.0,TCIE.NS,TCI Express Ltd,India,Air Freight & Logistics,2021.0,3.5194704,0.0,7.9373354,0.0017046,0.1714534,0.9322244,0.1397248,0.0,866914.1807661,0.1820956,0.0,0.4913779,23.4708765,16974653.958952,0.0,0.0,0,0.0,0.0,9.6895925,3.3501731,8.3549077
Dương/114. ERIS/ERIS 2018,2018,Eris Lifesciences Ltd,ERIS.NS,1.3790036156455896,115.0,ERIS.NS,Eris Lifesciences Ltd,India,Pharmaceuticals,2018.0,12.0365351,0.0,8.351376,0.113553,0.196656,0.7578855,0.0245469,0.0,-449262.7927147,0.2078455,0.0715445,0.0360896,8.0381195,42085429.3148309,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/107. LTIM/LTIM 2022,2022,LTIMindtree Ltd,LTIM.NS,2.2074030588802103,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2022.0,6.2006624,54.547543,9.4563354,0.0655939,0.2333409,0.7941194,0.3796374,0.0079247,108507789.678676,0.3415507,0.0001404,0.1292214,17.4139652,536794060.37001,6.0,8.3333333,1,29.314135,48.5069196,7.609365,3.370596,5.8971419
Dương/114. ERIS/ERIS 2019,2019,Eris Lifesciences Ltd,ERIS.NS,1.6947483246752628,115.0,ERIS.NS,Eris Lifesciences Ltd,India,Pharmaceuticals,2019.0,13.2224462,0.0,8.3139918,0.0116871,0.1060938,0.6433932,0.4086891,0.0,7939017.4292807,0.0839839,0.0777792,0.0562254,0.4247475,39359510.4403117,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
