folder_path,folder_name,company_name,company_code,similarity_score,status
Dương/76. VRLL,76. VRLL,VRL Logistics Ltd,VRLL.NS,1.0,matched
Thái/GDEX.KL,GDEX.KL,Gdex Bhd,GDEX.KL,1.0,matched
Dương/238 + AIAE.NS,238 + AIAE.NS,AIA Engineering Ltd,AIAE.NS,1.0,matched
Dương/74. PDSL,74. PDSL,PDS Ltd,PDSL.NS,1.0,matched
Thái/POWE.KL,POWE.KL,Power Root Bhd,POWE.KL,1.0,matched
Dương/32. JUWL,32. JUWL,Jupiter Wagons Ltd,JUWL.NS,1.0,matched
Dương/BARQ.NS,BARQ.NS,Barbeque-Nation Hospitality Ltd,BARQ.NS,1.0,matched
Thái/BONI.KL,BONI.KL,Bonia Corporation Bhd,BONI.KL,1.0,matched
Dương/224 + CEIF.NS,224 + CEIF.NS,CE Info Systems Ltd,CEIF.NS,1.0,matched
Dương/171.MAZG.NS,171.MAZG.NS,Mazagon Dock Shipbuilders Ltd,MAZG.NS,1.0,matched
Vân/PLDT Inc,PLDT Inc,PLDT Inc,TEL.PS,1.0,matched
Giang/BRLC.NS,BRLC.NS,Birla Corporation Ltd,BRLC.NS,1.0,matched
Thái/NCHB.KL,NCHB.KL,Naim Holdings Bhd,NCHB.KL,1.0,matched
Thái/HARR.KL,HARR.KL,Harbour-Link Group Bhd,HARR.KL,1.0,matched
Dương/44. PIIL,44. PIIL,PI Industries Ltd,PIIL.NS,1.0,matched
Dương/148.CHAL.NS,148.CHAL.NS,Chalet Hotels Ltd,CHAL.NS,1.0,matched
Giang/SCHE.NS,SCHE.NS,Schaeffler India Ltd,SCHE.NS,1.0,matched
Thái/PARB.KL,PARB.KL,PA Resources Bhd,PARB.KL,1.0,matched
Thái/KIML.KL,KIML.KL,Kim Loong Resources Bhd,KIML.KL,1.0,matched
Giang/DCMS.NS,DCMS.NS,DCM Shriram Ltd,DCMS.NS,1.0,matched
Dương/159.RAIT.NS,159.RAIT.NS,Railtel Corporation of India Ltd,RAIT.NS,1.0,matched
Thái/PNTE.KL,PNTE.KL,Pantech Group Holdings Bhd,PNTE.KL,1.0,matched
Thái/EVGN.KL,EVGN.KL,Evergreen Fibreboard Bhd,EVGN.KL,1.0,matched
Thái/IOIB.KL,IOIB.KL,IOI Corporation Bhd,IOIB.KL,1.0,matched
Giang/DABU.NS,DABU.NS,Dabur India Ltd,DABU.NS,1.0,matched
Giang/KNRL.NS,KNRL.NS,KNR Constructions Ltd,KNRL.NS,1.0,matched
Thái/NESM.KL,NESM.KL,Nestle (Malaysia) Bhd,NESM.KL,1.0,matched
Thái/HEXC.KL,HEXC.KL,Hextar Capital Bhd,HEXC.KL,1.0,matched
Thái/KOBA.KL,KOBA.KL,Kobay Technology Bhd,KOBA.KL,1.0,matched
Vân/Wellcall Holdings Bhd,Wellcall Holdings Bhd,Wellcall Holdings Bhd,WCAL.KL,1.0000000000000002,matched
Vân/Vodacom Group Ltd,Vodacom Group Ltd,Vodacom Group Ltd,VODJ.J,1.0000000000000002,matched
Thái/AXSR.KL,AXSR.KL,Axis Real Estate Investment Trust,AXSR.KL,1.0,matched
Thái/BLAD.KL,BLAD.KL,Berjaya Land Bhd,BLAD.KL,1.0,matched
Vân/Citaglobal Bhd,Citaglobal Bhd,Citaglobal Bhd,CITA.KL,1.0000000000000002,matched
Vân/Nampak Ltd,Nampak Ltd,Nampak Ltd,NPKJ.J,1.0,matched
Dương/21. MSN,21. MSN,Masan Group Corp,MSN.HM,1.0,matched
Vân/Sime Darby Bhd,Sime Darby Bhd,Sime Darby Bhd,SIME.KL,1.0000000000000002,matched
Giang/TRCE.NS,TRCE.NS,Ramco Cements Limited,TRCE.NS,1.0,matched
